Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,！210570104！V！210570104！V02835
Total Test Time,231
DUTResult,Failed
Date Time,20210319184053
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,3.28E-05
End,,,,,Done,2.4E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,0.0001268
7.4.1 Power Test U Current OP4(0),421.433736492495,A,400,500,Passed,0.1780233
7.4.2 Power Test V Current OP4(0),421.345713398498,A,400,500,Passed,0.1700855
7.4.3 Power Test W Current OP4(0),422.055496885274,A,400,500,Passed,0.1693076
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),22,deg,20,99,Passed,0.0001886
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),71,deg,20,99,Passed,0.0001871
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),23,deg,20,99,Passed,0.0001995
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),30,deg,20,99,Passed,0.0002472
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001663
7.4.9 Power Test FSEVBHV_Voltage OP4(0),375,V,360,410,Passed,0.0002083
7.4.10 Power Test FTEABHV_UbatHV OP4(0),385,V,360,410,Passed,0.0001564
7.4.11 Power Test SAEABHV_Voltage OP4(0),375,V,360,410,Passed,0.000179
7.8.1 Power Test U Current OP8(0),422.884938082484,A,400,500,Passed,0.1784954
7.8.2 Power Test V Current OP8(0),420.396441312736,A,400,500,Passed,0.1691608
7.8.3 Power Test W Current OP8(0),422.607180553956,A,400,500,Passed,0.1703377
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),23,deg,20,99,Passed,0.0001836
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),73,deg,20,99,Passed,0.0001667
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),24,deg,20,99,Passed,0.0001946
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),38,deg,20,99,Passed,0.0001684
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0002002
7.8.9 Power Test FSEVBHV_Voltage OP8(0),376,V,360,410,Passed,0.0002041
7.8.10 Power Test FTEABHV_UbatHV OP8(0),390,V,360,410,Passed,0.0002034
7.8.11 Power Test SAEABHV_Voltage OP8(0),376,V,360,410,Passed,0.0001836
7.4.1 Power Test U Current OP4(1),422.322511622438,A,400,500,Passed,0.1765664
7.4.2 Power Test V Current OP4(1),421.19027224791,A,400,500,Passed,0.1709796
7.4.3 Power Test W Current OP4(1),422.700816468754,A,400,500,Passed,0.1696318
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),24,deg,20,99,Passed,0.0002002
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),74,deg,20,99,Passed,0.0001871
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),25,deg,20,99,Passed,0.0001638
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),43,deg,20,99,Passed,0.0002549
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0002454
7.4.9 Power Test FSEVBHV_Voltage OP4(1),374,V,360,410,Passed,0.0001829
7.4.10 Power Test FTEABHV_UbatHV OP4(1),384,V,360,410,Passed,0.0001653
7.4.11 Power Test SAEABHV_Voltage OP4(1),374,V,360,410,Passed,0.000202
7.8.1 Power Test U Current OP8(1),421.563190082888,A,400,500,Passed,0.1927283
7.8.2 Power Test V Current OP8(1),420.07722676163,A,400,500,Passed,0.1695283
7.8.3 Power Test W Current OP8(1),421.835847064585,A,400,500,Passed,0.1714439
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),25,deg,20,99,Passed,0.0001744
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),74,deg,20,99,Passed,0.0001939
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),27,deg,20,99,Passed,0.0001624
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),45,deg,20,99,Passed,0.0001737
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0002278
7.8.9 Power Test FSEVBHV_Voltage OP8(1),381,V,360,410,Passed,0.0002097
7.8.10 Power Test FTEABHV_UbatHV OP8(1),391,V,360,410,Passed,0.0002115
7.8.11 Power Test SAEABHV_Voltage OP8(1),381,V,360,410,Passed,0.0002228
7.4.1 Power Test U Current OP4(2),420.295287314591,A,400,500,Passed,0.2012155
7.4.2 Power Test V Current OP4(2),422.814796408428,A,400,500,Passed,0.2005739
7.4.3 Power Test W Current OP4(2),421.40106632091,A,400,500,Passed,0.1973236
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),26,deg,20,99,Passed,0.0001797
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),75,deg,20,99,Passed,0.000172
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),29,deg,20,99,Passed,0.0001755
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),47,deg,20,99,Passed,0.0001741
7.4.8 Power Test FSEVBLV_Voltage OP4(2),9,V,9,12,Passed,0.0001695
7.4.9 Power Test FSEVBHV_Voltage OP4(2),380,V,360,410,Passed,0.0001981
7.4.10 Power Test FTEABHV_UbatHV OP4(2),389,V,360,410,Passed,0.000203
7.4.11 Power Test SAEABHV_Voltage OP4(2),380,V,360,410,Passed,0.0001988
7.8.1 Power Test U Current OP8(2),419.797846274565,A,400,500,Passed,0.2002085
7.8.2 Power Test V Current OP8(2),422.314634755261,A,400,500,Passed,0.2055139
7.8.3 Power Test W Current OP8(2),421.71122978387,A,400,500,Passed,0.2005602
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(2),27,deg,20,99,Passed,0.0001797
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(2),74,deg,20,99,Passed,0.0001931
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(2),30,deg,20,99,Passed,0.0001748
7.8.7 Power Test AN_CTP_COOLING_F OP8(2),48,deg,20,99,Passed,0.0002405
7.8.8 Power Test FSEVBLV_Voltage OP8(2),15,V,14,17,Passed,0.0001808
7.8.9 Power Test FSEVBHV_Voltage OP8(2),378,V,360,410,Passed,0.00019
7.8.10 Power Test FTEABHV_UbatHV OP8(2),388,V,360,410,Passed,0.0001822
7.8.11 Power Test SAEABHV_Voltage OP8(2),378,V,360,410,Passed,0.0002143
7.4.1 Power Test U Current OP4(3),420.874287335481,A,400,500,Passed,0.2020767
7.4.2 Power Test V Current OP4(3),423.080743526322,A,400,500,Passed,0.2040933
7.4.3 Power Test W Current OP4(3),420.977532888155,A,400,500,Passed,0.2009542
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(3),28,deg,20,99,Passed,0.0001833
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(3),74,deg,20,99,Passed,0.0001698
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(3),33,deg,20,99,Passed,0.0001801
7.4.7 Power Test AN_CTP_COOLING_F OP4(3),49,deg,20,99,Passed,0.000179
7.4.8 Power Test FSEVBLV_Voltage OP4(3),9,V,9,12,Passed,0.0004869
7.4.9 Power Test FSEVBHV_Voltage OP4(3),375,V,360,410,Passed,0.000184
7.4.10 Power Test FTEABHV_UbatHV OP4(3),384,V,360,410,Passed,0.000202
7.4.11 Power Test SAEABHV_Voltage OP4(3),375,V,360,410,Passed,0.0002196
7.8.1 Power Test U Current OP8(3),419.860698819235,A,400,500,Passed,0.2007028
7.8.2 Power Test V Current OP8(3),423.922938540297,A,400,500,Passed,0.2005019
7.8.3 Power Test W Current OP8(3),420.603882378173,A,400,500,Passed,0.1975553
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(3),29,deg,20,99,Passed,0.0002027
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(3),74,deg,20,99,Passed,0.0001631
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(3),34,deg,20,99,Passed,0.0001889
7.8.7 Power Test AN_CTP_COOLING_F OP8(3),50,deg,20,99,Passed,0.0002549
7.8.8 Power Test FSEVBLV_Voltage OP8(3),15,V,14,17,Passed,0.0001734
7.8.9 Power Test FSEVBHV_Voltage OP8(3),384,V,360,410,Passed,0.0001903
7.8.10 Power Test FTEABHV_UbatHV OP8(3),390,V,360,410,Passed,0.0001794
7.8.11 Power Test SAEABHV_Voltage OP8(3),384,V,360,410,Passed,0.0007037
7.4.1 Power Test U Current OP4(4),419.92183487719,A,400,500,Passed,0.198104
7.4.2 Power Test V Current OP4(4),423.301457943703,A,400,500,Passed,0.199248
7.4.3 Power Test W Current OP4(4),420.550065122965,A,400,500,Passed,0.1983141
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(4),30,deg,20,99,Passed,0.000191
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(4),75,deg,20,99,Passed,0.0002518
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(4),36,deg,20,99,Passed,0.0002076
7.4.7 Power Test AN_CTP_COOLING_F OP4(4),50,deg,20,99,Passed,0.0002712
7.4.8 Power Test FSEVBLV_Voltage OP4(4),9,V,9,12,Passed,0.0004181
7.4.9 Power Test FSEVBHV_Voltage OP4(4),377,V,360,410,Passed,0.0001818
7.4.10 Power Test FTEABHV_UbatHV OP4(4),386,V,360,410,Passed,0.0002242
7.4.11 Power Test SAEABHV_Voltage OP4(4),377,V,360,410,Passed,0.0002599
7.8.1 Power Test U Current OP8(4),0.130754649754679,A,400,500,Failed,0.1996753
If,,,,,Done,3.28E-05
End,,,,,Done,2.54E-05
 
