Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,！210160184！V！210160184！V02835
Total Test Time,1054
DUTResult,Passed
Date Time,20210320033222
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.97E-05
End,,,,,Done,2.26E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,5.79E-05
7.4.1 Power Test U Current OP4(0),423.064245223596,A,400,500,Passed,0.1784619
7.4.2 Power Test V Current OP4(0),423.605998464796,A,400,500,Passed,0.1693903
7.4.3 Power Test W Current OP4(0),423.855544705494,A,400,500,Passed,0.1744856
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),25,deg,20,99,Passed,0.0001928
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),73,deg,20,99,Passed,0.0001886
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),26,deg,20,99,Passed,0.0001843
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),33,deg,20,99,Passed,0.0001914
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001691
7.4.9 Power Test FSEVBHV_Voltage OP4(0),375,V,360,410,Passed,0.0002673
7.4.10 Power Test FTEABHV_UbatHV OP4(0),384,V,360,410,Passed,0.0001808
7.4.11 Power Test SAEABHV_Voltage OP4(0),375,V,360,410,Passed,0.0002013
7.8.1 Power Test U Current OP8(0),422.90472632891,A,400,500,Passed,0.1773771
7.8.2 Power Test V Current OP8(0),423.545756844262,A,400,500,Passed,0.168885
7.8.3 Power Test W Current OP8(0),424.313850101112,A,400,500,Passed,0.1699062
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),26,deg,20,99,Passed,0.0001871
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),74,deg,20,99,Passed,0.0001822
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),27,deg,20,99,Passed,0.0005494
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),41,deg,20,99,Passed,0.0001691
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0002059
7.8.9 Power Test FSEVBHV_Voltage OP8(0),380,V,360,410,Passed,0.0002193
7.8.10 Power Test FTEABHV_UbatHV OP8(0),387,V,360,410,Passed,0.0001896
7.8.11 Power Test SAEABHV_Voltage OP8(0),380,V,360,410,Passed,0.0002073
7.4.1 Power Test U Current OP4(1),422.409211302347,A,400,500,Passed,0.2262757
7.4.2 Power Test V Current OP4(1),424.204457325233,A,400,500,Passed,0.1703023
7.4.3 Power Test W Current OP4(1),423.67293858764,A,400,500,Passed,0.1707967
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),27,deg,20,99,Passed,0.0002073
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),74,deg,20,99,Passed,0.0002249
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),29,deg,20,99,Passed,0.0001783
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),45,deg,20,99,Passed,0.0001787
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0002172
7.4.9 Power Test FSEVBHV_Voltage OP4(1),374,V,360,410,Passed,0.0002066
7.4.10 Power Test FTEABHV_UbatHV OP4(1),384,V,360,410,Passed,0.0002299
7.4.11 Power Test SAEABHV_Voltage OP4(1),374,V,360,410,Passed,0.000256
7.8.1 Power Test U Current OP8(1),421.025017382572,A,400,500,Passed,0.2345898
7.8.2 Power Test V Current OP8(1),424.328181066362,A,400,500,Passed,0.1948748
7.8.3 Power Test W Current OP8(1),425.29134679378,A,400,500,Passed,0.1942025
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),28,deg,20,99,Passed,0.0001826
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),74,deg,20,99,Passed,0.0001921
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),30,deg,20,99,Passed,0.0001684
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),47,deg,20,99,Passed,0.0002443
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0002281
7.8.9 Power Test FSEVBHV_Voltage OP8(1),374,V,360,410,Passed,0.0001907
7.8.10 Power Test FTEABHV_UbatHV OP8(1),384,V,360,410,Passed,0.0003528
7.8.11 Power Test SAEABHV_Voltage OP8(1),376,V,360,410,Passed,0.0001963
7.4.1 Power Test U Current OP4(2),420.59353379576,A,400,500,Passed,0.195765
7.4.2 Power Test V Current OP4(2),424.688780560194,A,400,500,Passed,0.1976393
7.4.3 Power Test W Current OP4(2),424.197925138292,A,400,500,Passed,0.1959984
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),28,deg,20,99,Passed,0.0002217
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),74,deg,20,99,Passed,0.0002352
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),32,deg,20,99,Passed,0.000191
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),48,deg,20,99,Passed,0.000471
7.4.8 Power Test FSEVBLV_Voltage OP4(2),9,V,9,12,Passed,0.0001886
7.4.9 Power Test FSEVBHV_Voltage OP4(2),375,V,360,410,Passed,0.0003044
7.4.10 Power Test FTEABHV_UbatHV OP4(2),386,V,360,410,Passed,0.0001836
7.4.11 Power Test SAEABHV_Voltage OP4(2),375,V,360,410,Passed,0.0002115
7.8.1 Power Test U Current OP8(2),420.380508310451,A,400,500,Passed,0.1956969
7.8.2 Power Test V Current OP8(2),425.129856833832,A,400,500,Passed,0.1952731
7.8.3 Power Test W Current OP8(2),424.457735244009,A,400,500,Passed,0.1965443
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(2),29,deg,20,99,Passed,0.0002482
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(2),74,deg,20,99,Passed,0.0002196
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(2),34,deg,20,99,Passed,0.0002316
7.8.7 Power Test AN_CTP_COOLING_F OP8(2),49,deg,20,99,Passed,0.0007387
7.8.8 Power Test FSEVBLV_Voltage OP8(2),15,V,14,17,Passed,0.0001931
7.8.9 Power Test FSEVBHV_Voltage OP8(2),377,V,360,410,Passed,0.000185
7.8.10 Power Test FTEABHV_UbatHV OP8(2),386,V,360,410,Passed,0.0001946
7.8.11 Power Test SAEABHV_Voltage OP8(2),377,V,360,410,Passed,0.0002228
7.4.1 Power Test U Current OP4(3),420.478471030415,A,400,500,Passed,0.2054086
7.4.2 Power Test V Current OP4(3),426.317060189983,A,400,500,Passed,0.1986492
7.4.3 Power Test W Current OP4(3),425.471679892427,A,400,500,Passed,0.204814
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(3),31,deg,20,99,Passed,0.0002362
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(3),74,deg,20,99,Passed,0.0011621
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(3),35,deg,20,99,Passed,0.0001617
7.4.7 Power Test AN_CTP_COOLING_F OP4(3),50,deg,20,99,Passed,0.0001762
7.4.8 Power Test FSEVBLV_Voltage OP4(3),9,V,9,12,Passed,0.0002864
7.4.9 Power Test FSEVBHV_Voltage OP4(3),376,V,360,410,Passed,0.0001871
7.4.10 Power Test FTEABHV_UbatHV OP4(3),386,V,360,410,Passed,0.0008736
7.4.11 Power Test SAEABHV_Voltage OP4(3),376,V,360,410,Passed,0.0001804
7.8.1 Power Test U Current OP8(3),420.989654650355,A,400,500,Passed,0.1952541
7.8.2 Power Test V Current OP8(3),426.182958090509,A,400,500,Passed,0.1967887
7.8.3 Power Test W Current OP8(3),424.212469387676,A,400,500,Passed,0.1942046
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(3),32,deg,20,99,Passed,0.0001773
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(3),75,deg,20,99,Passed,0.0001645
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(3),37,deg,20,99,Passed,0.0001698
7.8.7 Power Test AN_CTP_COOLING_F OP8(3),51,deg,20,99,Passed,0.0001723
7.8.8 Power Test FSEVBLV_Voltage OP8(3),15,V,14,17,Passed,0.0001748
7.8.9 Power Test FSEVBHV_Voltage OP8(3),382,V,360,410,Passed,0.000292
7.8.10 Power Test FTEABHV_UbatHV OP8(3),391,V,360,410,Passed,0.0002044
7.8.11 Power Test SAEABHV_Voltage OP8(3),382,V,360,410,Passed,0.0001988
7.4.1 Power Test U Current OP4(4),420.586486463565,A,400,500,Passed,0.1975291
7.4.2 Power Test V Current OP4(4),426.596099857293,A,400,500,Passed,0.1957248
7.4.3 Power Test W Current OP4(4),424.531691543885,A,400,500,Passed,0.1952721
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(4),33,deg,20,99,Passed,0.0001829
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(4),75,deg,20,99,Passed,0.0001543
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(4),39,deg,20,99,Passed,0.0002387
7.4.7 Power Test AN_CTP_COOLING_F OP4(4),51,deg,20,99,Passed,0.0012641
7.4.8 Power Test FSEVBLV_Voltage OP4(4),9,V,9,12,Passed,0.0001797
7.4.9 Power Test FSEVBHV_Voltage OP4(4),377,V,360,410,Passed,0.0001992
7.4.10 Power Test FTEABHV_UbatHV OP4(4),387,V,360,410,Passed,0.0002157
7.4.11 Power Test SAEABHV_Voltage OP4(4),377,V,360,410,Passed,0.000209
7.8.1 Power Test U Current OP8(4),421.28996257778,A,400,500,Passed,0.1983469
7.8.2 Power Test V Current OP8(4),427.182731772285,A,400,500,Passed,0.1998035
7.8.3 Power Test W Current OP8(4),423.983338538337,A,400,500,Passed,0.1961305
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(4),34,deg,20,99,Passed,0.000191
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(4),75,deg,20,99,Passed,0.0001984
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(4),41,deg,20,99,Passed,0.0001833
7.8.7 Power Test AN_CTP_COOLING_F OP8(4),52,deg,20,99,Passed,0.0001656
7.8.8 Power Test FSEVBLV_Voltage OP8(4),15,V,14,17,Passed,0.0002221
7.8.9 Power Test FSEVBHV_Voltage OP8(4),384,V,360,410,Passed,0.0002013
7.8.10 Power Test FTEABHV_UbatHV OP8(4),392,V,360,410,Passed,0.0005342
7.8.11 Power Test SAEABHV_Voltage OP8(4),384,V,360,410,Passed,0.0002334
7.4.1 Power Test U Current OP4(5),422.455243542149,A,400,500,Passed,0.1956467
7.4.2 Power Test V Current OP4(5),426.264235799461,A,400,500,Passed,0.2027893
7.4.3 Power Test W Current OP4(5),422.948146899821,A,400,500,Passed,0.197943
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(5),35,deg,20,99,Passed,0.0001826
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(5),76,deg,20,99,Passed,0.0001864
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(5),42,deg,20,99,Passed,0.0001758
7.4.7 Power Test AN_CTP_COOLING_F OP4(5),53,deg,20,99,Passed,0.000184
7.4.8 Power Test FSEVBLV_Voltage OP4(5),9,V,9,12,Passed,0.0001762
7.4.9 Power Test FSEVBHV_Voltage OP4(5),377,V,360,410,Passed,0.0004227
7.4.10 Power Test FTEABHV_UbatHV OP4(5),388,V,360,410,Passed,0.0002698
7.4.11 Power Test SAEABHV_Voltage OP4(5),377,V,360,410,Passed,0.0005741
7.8.1 Power Test U Current OP8(5),422.507040102694,A,400,500,Passed,0.1986174
